label,study_and_condition
__label__1,study interventions are Dacarbazine . gliosarcoma diagnosis and evidence of greater_than grade one cns hemorrhage on baseline mri or ct scan
__label__0,study interventions are Etoposide . stage iiib non small cell lung cancer diagnosis and adequate baseline organ function obtained within thirty days of study registration
__label__0,study interventions are Methotrexate . lymphoma diagnosis and one has not undergone hysterectomy or bilateral oophorectomy or two has not been naturally postmenopausal for at least two4 consecutive months has had menses at any time in the preceding two4 consecutive months
__label__0,study interventions are Antilymphocyte Serum . lymphoma diagnosis and failed greater_than one prior chemotherapy regimen including fludarabine or autologous stem cell transplantation
__label__0,study interventions are Bortezomib . lymphoma diagnosis and patients must not be participating in any other clinical trial or taking any other experimental medications within fourteen days prior to registration
__label__0,study interventions are Docetaxel . ovarian cancer diagnosis and bilirubin normal
__label__0,study interventions are Fluorouracil . stage iva colon cancer diagnosis and metastatic disease by imaging
__label__0,study interventions are Lenalidomide . stage small lymphocytic lymphoma diagnosis and night_sweats greater_than one month without evidence of infection
__label__0,study interventions are Cyclophosphamide . rhabdomyosarcoma diagnosis and stage one group stage one group stage one group iii orbital only stage two group stage two group ii subset two
__label__1,study interventions are Dexamethasone acetate . myeloma diagnosis and exception
__label__1,study interventions are Fludarabine phosphate . recurrent cutaneous cell non hodgkin lymphoma diagnosis and forty kidneys
__label__1,study interventions are Everolimus . recurrent renal cell cancer diagnosis and adults of reproductive potential who are not using effective birth control methods if barrier contraceptive are being used these must be continued throughout this trial by both sexes hormonal contraceptives are not acceptable as sole method of contraception
__label__1,study interventions are Albumin-Bound Paclitaxel . stage iii pancreatic cancer diagnosis and any chemotherapy related toxicities from prior treatment greater_than grade two per common terminology criteria for adverse events ctcae version doc
__label__0,study interventions are Dabrafenib . metastatic melanoma diagnosis and patients must have histologically confirmed braf mutant vsix_hundrede malignancy molecularly confirmed using validated commercially available assay performed in clinical laboratory improvement_amendments clia approved laboratory that is metastatic or unresectable and for which standard curative or palliative measures do not exist or are no longer effective
__label__1,study interventions are Decitabine . melanoma diagnosis and patients with brain metastases
__label__0,study interventions are Cetuximab . breast cancer diagnosis and written informed consent
__label__0,study interventions are Rituximab . stage iii grade three follicular lymphoma diagnosis and patients are allowed to have received radiotherapy before enrollment if radiation was given to alleviate pain and or neurologic compromise as long as there remains areas of measurable disease present
__label__0,study interventions are Lenograstim . angioimmunoblastic cell lymphoma
__label__1,study interventions are Bortezomib . lymphoma non hodgkins diagnosis and female subject is pregnant or breast feeding
__label__1,study interventions are Levoleucovorin . stage ii rectal cancer diagnosis and new york heart association class iii or iv congestive heart failure
__label__1,study interventions are Smoking cessation treatment plus moderate intensity exercise . lung cancer diagnosis and about three mph
__label__1,study interventions are Lapatinib . cancer diagnosis and do not have accessible veins for venipuncture
__label__1,study interventions are Carboplatin . recurrent ovarian carcinoma diagnosis and patients with clinically significant cardiovascular disease are excluded
__label__0,study interventions are Panobinostat . plasma cell myeloma diagnosis and be surgically sterile or
__label__1,study interventions are Trastuzumab . advanced cancer diagnosis and for trastuzumab and lapatinib treatment arm only history of hypersensitivity to trastuzumab chinese_hamster ovary cell proteins or any component of the formulation
__label__1,"study interventions are Antibodies, Monoclonal . malignant neoplasm of respiratory and intrathoracic organ carcinoma diagnosis and any gastrointestinal disorder expected to limit absorption of selumetinib"
__label__0,study interventions are laboratory biomarker analysis . recurrent childhood small noncleaved cell lymphoma diagnosis and fertile patients must use effective contraception
__label__0,study interventions are Triptorelin Pamoate . prostate cancer diagnosis and clinical stage tthree any mzero with any gleason score and any prostate specific antigen psa
__label__0,study interventions are Interleukin-2 . kidney cancer diagnosis and more than twelve weeks
__label__0,study interventions are Niacinamide . cholangiocarcinoma of the gallbladder diagnosis and leukocyte count greater_than equal_than three zero mcl
